notes,year,year_code,state,state_code,ten-year_age_groups,ten-year_age_groups_code,sex,sex_code,deaths,population,crude_rate
,1999.0,1999.0,Kentucky,21.0,45-54 years,45-54,Female,F,29.0,275483.0,10.5
,1999.0,1999.0,Kentucky,21.0,45-54 years,45-54,Male,M,53.0,265956.0,19.9
,1999.0,1999.0,Kentucky,21.0,55-64 years,55-64,Male,M,33.0,175819.0,18.8
,1999.0,1999.0,Kentucky,21.0,65-74 years,65-74,Male,M,34.0,122420.0,27.8
,1999.0,1999.0,Kentucky,21.0,75-84 years,75-84,Male,M,31.0,64509.0,48.1
,1999.0,1999.0,Kentucky,21.0,85+ years,85+,Male,M,15.0,15593.0,
,1999.0,1999.0,Louisiana,22.0,15-24 years,15-24,Male,M,76.0,345450.0,22.0
,1999.0,1999.0,Louisiana,22.0,25-34 years,25-34,Female,F,18.0,310491.0,
,1999.0,1999.0,Louisiana,22.0,25-34 years,25-34,Male,M,83.0,298091.0,27.8
,1999.0,1999.0,Louisiana,22.0,35-44 years,35-44,Female,F,26.0,356925.0,7.3
,1999.0,1999.0,Louisiana,22.0,35-44 years,35-44,Male,M,72.0,339382.0,21.2
,1999.0,1999.0,Louisiana,22.0,45-54 years,45-54,Female,F,23.0,293386.0,7.8
,1999.0,1999.0,Louisiana,22.0,45-54 years,45-54,Male,M,67.0,277057.0,24.2
,1999.0,1999.0,Louisiana,22.0,55-64 years,55-64,Female,F,12.0,196784.0,
,1999.0,1999.0,Louisiana,22.0,55-64 years,55-64,Male,M,39.0,176452.0,22.1
,1999.0,1999.0,Louisiana,22.0,65-74 years,65-74,Male,M,32.0,124854.0,25.6
,1999.0,1999.0,Louisiana,22.0,75-84 years,75-84,Male,M,30.0,66127.0,45.4
,1999.0,1999.0,Louisiana,22.0,85+ years,85+,Male,M,13.0,15996.0,
,1999.0,1999.0,Maine,23.0,15-24 years,15-24,Male,M,13.0,80597.0,
,1999.0,1999.0,Maine,23.0,25-34 years,25-34,Male,M,25.0,78153.0,32.0
,1999.0,1999.0,Maine,23.0,35-44 years,35-44,Female,F,10.0,109011.0,
,1999.0,1999.0,Maine,23.0,35-44 years,35-44,Male,M,33.0,104519.0,31.6
,1999.0,1999.0,Maine,23.0,45-54 years,45-54,Male,M,24.0,92618.0,25.9
,1999.0,1999.0,Maine,23.0,55-64 years,55-64,Male,M,12.0,58545.0,
,1999.0,1999.0,Maine,23.0,65-74 years,65-74,Male,M,14.0,43798.0,
,1999.0,1999.0,Maryland,24.0,15-24 years,15-24,Female,F,12.0,325943.0,
,1999.0,1999.0,Maryland,24.0,15-24 years,15-24,Male,M,52.0,332432.0,15.6
,1999.0,1999.0,Maryland,24.0,25-34 years,25-34,Female,F,14.0,393451.0,
,1999.0,1999.0,Maryland,24.0,25-34 years,25-34,Male,M,66.0,370486.0,17.8
,1999.0,1999.0,Maryland,24.0,35-44 years,35-44,Female,F,22.0,469739.0,4.7
,1999.0,1999.0,Maryland,24.0,35-44 years,35-44,Male,M,76.0,441710.0,17.2
,1999.0,1999.0,Maryland,24.0,45-54 years,45-54,Female,F,12.0,381821.0,
,1999.0,1999.0,Maryland,24.0,45-54 years,45-54,Male,M,58.0,352869.0,16.4
,1999.0,1999.0,Maryland,24.0,55-64 years,55-64,Male,M,36.0,219754.0,16.4
,1999.0,1999.0,Maryland,24.0,65-74 years,65-74,Male,M,36.0,143252.0,25.1
,1999.0,1999.0,Maryland,24.0,75-84 years,75-84,Male,M,27.0,80138.0,33.7
,1999.0,1999.0,Massachusetts,25.0,5-14 years,14-May,Male,M,10.0,440693.0,
,1999.0,1999.0,Massachusetts,25.0,15-24 years,15-24,Female,F,12.0,402622.0,
,1999.0,1999.0,Massachusetts,25.0,15-24 years,15-24,Male,M,32.0,401845.0,8.0
,1999.0,1999.0,Massachusetts,25.0,25-34 years,25-34,Female,F,15.0,485017.0,
,1999.0,1999.0,Massachusetts,25.0,25-34 years,25-34,Male,M,69.0,469735.0,14.7
,1999.0,1999.0,Massachusetts,25.0,35-44 years,35-44,Female,F,29.0,537544.0,5.4
,1999.0,1999.0,Massachusetts,25.0,35-44 years,35-44,Male,M,77.0,519686.0,14.8
,1999.0,1999.0,Massachusetts,25.0,45-54 years,45-54,Female,F,18.0,437202.0,
,1999.0,1999.0,Massachusetts,25.0,45-54 years,45-54,Male,M,57.0,412688.0,13.8
,1999.0,1999.0,Massachusetts,25.0,55-64 years,55-64,Female,F,15.0,279849.0,
,1999.0,1999.0,Massachusetts,25.0,55-64 years,55-64,Male,M,40.0,254634.0,15.7
,1999.0,1999.0,Massachusetts,25.0,65-74 years,65-74,Male,M,14.0,190689.0,
,1999.0,1999.0,Massachusetts,25.0,75-84 years,75-84,Male,M,19.0,118356.0,
,1999.0,1999.0,Massachusetts,25.0,85+ years,85+,Male,M,11.0,30087.0,
,1999.0,1999.0,Michigan,26.0,5-14 years,14-May,Male,M,11.0,764115.0,
,1999.0,1999.0,Michigan,26.0,15-24 years,15-24,Female,F,20.0,667635.0,3.0
,1999.0,1999.0,Michigan,26.0,15-24 years,15-24,Male,M,119.0,690022.0,17.2
,1999.0,1999.0,Michigan,26.0,25-34 years,25-34,Female,F,22.0,688607.0,3.2
,1999.0,1999.0,Michigan,26.0,25-34 years,25-34,Male,M,167.0,689292.0,24.2
,1999.0,1999.0,Michigan,26.0,35-44 years,35-44,Female,F,51.0,808984.0,6.3
,1999.0,1999.0,Michigan,26.0,35-44 years,35-44,Male,M,166.0,796374.0,20.8
,1999.0,1999.0,Michigan,26.0,45-54 years,45-54,Female,F,43.0,673980.0,6.4
,1999.0,1999.0,Michigan,26.0,45-54 years,45-54,Male,M,132.0,656207.0,20.1
,1999.0,1999.0,Michigan,26.0,55-64 years,55-64,Female,F,24.0,437946.0,5.5
,1999.0,1999.0,Michigan,26.0,55-64 years,55-64,Male,M,70.0,411898.0,17.0
,1999.0,1999.0,Michigan,26.0,65-74 years,65-74,Male,M,59.0,290962.0,20.3
,1999.0,1999.0,Michigan,26.0,75-84 years,75-84,Female,F,11.0,262240.0,
,1999.0,1999.0,Michigan,26.0,75-84 years,75-84,Male,M,45.0,167079.0,26.9
,1999.0,1999.0,Michigan,26.0,85+ years,85+,Male,M,22.0,39713.0,55.4
,1999.0,1999.0,Minnesota,27.0,15-24 years,15-24,Female,F,11.0,335609.0,
,1999.0,1999.0,Minnesota,27.0,15-24 years,15-24,Male,M,67.0,349616.0,19.2
,1999.0,1999.0,Minnesota,27.0,25-34 years,25-34,Male,M,62.0,341617.0,18.1
,1999.0,1999.0,Minnesota,27.0,35-44 years,35-44,Female,F,22.0,408256.0,5.4
,1999.0,1999.0,Minnesota,27.0,35-44 years,35-44,Male,M,90.0,414785.0,21.7
,1999.0,1999.0,Minnesota,27.0,45-54 years,45-54,Female,F,14.0,320338.0,
,1999.0,1999.0,Minnesota,27.0,45-54 years,45-54,Male,M,61.0,323007.0,18.9
,1999.0,1999.0,Minnesota,27.0,55-64 years,55-64,Female,F,10.0,201434.0,
,1999.0,1999.0,Minnesota,27.0,55-64 years,55-64,Male,M,27.0,194395.0,13.9
,1999.0,1999.0,Minnesota,27.0,65-74 years,65-74,Male,M,17.0,136569.0,
,1999.0,1999.0,Minnesota,27.0,75-84 years,75-84,Male,M,33.0,84277.0,39.2
,1999.0,1999.0,Mississippi,28.0,15-24 years,15-24,Male,M,40.0,225700.0,17.7
,1999.0,1999.0,Mississippi,28.0,25-34 years,25-34,Male,M,33.0,186401.0,17.7
,1999.0,1999.0,Mississippi,28.0,35-44 years,35-44,Female,F,13.0,218646.0,
,1999.0,1999.0,Mississippi,28.0,35-44 years,35-44,Male,M,62.0,205967.0,30.1
,1999.0,1999.0,Mississippi,28.0,45-54 years,45-54,Male,M,30.0,170376.0,17.6
,1999.0,1999.0,Mississippi,28.0,55-64 years,55-64,Female,F,10.0,127722.0,
,1999.0,1999.0,Mississippi,28.0,55-64 years,55-64,Male,M,33.0,114647.0,28.8
,1999.0,1999.0,Mississippi,28.0,65-74 years,65-74,Male,M,28.0,80924.0,34.6
,1999.0,1999.0,Mississippi,28.0,75-84 years,75-84,Male,M,17.0,42341.0,
,1999.0,1999.0,Missouri,29.0,15-24 years,15-24,Female,F,21.0,383799.0,5.5
,1999.0,1999.0,Missouri,29.0,15-24 years,15-24,Male,M,85.0,392084.0,21.7
,1999.0,1999.0,Missouri,29.0,25-34 years,25-34,Female,F,22.0,374160.0,5.9
,1999.0,1999.0,Missouri,29.0,25-34 years,25-34,Male,M,102.0,369659.0,27.6
,1999.0,1999.0,Missouri,29.0,35-44 years,35-44,Female,F,34.0,448167.0,7.6
,1999.0,1999.0,Missouri,29.0,35-44 years,35-44,Male,M,126.0,438657.0,28.7
,1999.0,1999.0,Missouri,29.0,45-54 years,45-54,Female,F,28.0,369525.0,7.6
,1999.0,1999.0,Missouri,29.0,45-54 years,45-54,Male,M,77.0,351662.0,21.9
,1999.0,1999.0,Missouri,29.0,55-64 years,55-64,Female,F,15.0,260010.0,
,1999.0,1999.0,Missouri,29.0,55-64 years,55-64,Male,M,52.0,239259.0,21.7
,1999.0,1999.0,Missouri,29.0,65-74 years,65-74,Male,M,50.0,177894.0,28.1
,1999.0,1999.0,Missouri,29.0,75-84 years,75-84,Male,M,44.0,101295.0,43.4
,1999.0,1999.0,Missouri,29.0,85+ years,85+,Male,M,22.0,26530.0,82.9
,1999.0,1999.0,Montana,30.0,15-24 years,15-24,Male,M,22.0,66989.0,32.8
,1999.0,1999.0,Montana,30.0,25-34 years,25-34,Male,M,11.0,51988.0,
,1999.0,1999.0,Montana,30.0,35-44 years,35-44,Female,F,10.0,72952.0,
,1999.0,1999.0,Montana,30.0,35-44 years,35-44,Male,M,26.0,71273.0,36.5
,1999.0,1999.0,Montana,30.0,45-54 years,45-54,Male,M,20.0,66448.0,30.1
,1999.0,1999.0,Montana,30.0,55-64 years,55-64,Male,M,11.0,41804.0,
,1999.0,1999.0,Montana,30.0,65-74 years,65-74,Male,M,15.0,29636.0,
,1999.0,1999.0,Montana,30.0,75-84 years,75-84,Male,M,17.0,17936.0,
,1999.0,1999.0,Nebraska,31.0,15-24 years,15-24,Male,M,30.0,129566.0,23.2
,1999.0,1999.0,Nebraska,31.0,25-34 years,25-34,Male,M,34.0,113756.0,29.9
,1999.0,1999.0,Nebraska,31.0,35-44 years,35-44,Female,F,10.0,132342.0,
,1999.0,1999.0,Nebraska,31.0,35-44 years,35-44,Male,M,30.0,133565.0,22.5
,1999.0,1999.0,Nebraska,31.0,45-54 years,45-54,Male,M,24.0,109357.0,21.9
,1999.0,1999.0,Nebraska,31.0,55-64 years,55-64,Male,M,16.0,68387.0,
,1999.0,1999.0,Nebraska,31.0,65-74 years,65-74,Male,M,10.0,53382.0,
,1999.0,1999.0,Nevada,32.0,15-24 years,15-24,Male,M,33.0,127687.0,25.8
,1999.0,1999.0,Nevada,32.0,25-34 years,25-34,Female,F,13.0,144631.0,
