Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,1999,1999,Michigan,26,55-64 years,55-64,Female,F,24,437946,5.5
,1999,1999,Michigan,26,55-64 years,55-64,Male,M,70,411898,17
,1999,1999,Michigan,26,65-74 years,65-74,Male,M,59,290962,20.3
,1999,1999,Michigan,26,75-84 years,75-84,Female,F,11,262240,Unreliable
,1999,1999,Michigan,26,75-84 years,75-84,Male,M,45,167079,26.9
,1999,1999,Michigan,26,85+ years,85+,Male,M,22,39713,55.4
,1999,1999,Minnesota,27,15-24 years,15-24,Female,F,11,335609,Unreliable
,1999,1999,Minnesota,27,15-24 years,15-24,Male,M,67,349616,19.2
,1999,1999,Minnesota,27,25-34 years,25-34,Male,M,62,341617,18.1
,1999,1999,Minnesota,27,35-44 years,35-44,Female,F,22,408256,5.4
,1999,1999,Minnesota,27,35-44 years,35-44,Male,M,90,414785,21.7
,1999,1999,Minnesota,27,45-54 years,45-54,Female,F,14,320338,Unreliable
,1999,1999,Minnesota,27,45-54 years,45-54,Male,M,61,323007,18.9
,1999,1999,Minnesota,27,55-64 years,55-64,Female,F,10,201434,Unreliable
,1999,1999,Minnesota,27,55-64 years,55-64,Male,M,27,194395,13.9
,1999,1999,Minnesota,27,65-74 years,65-74,Male,M,17,136569,Unreliable
,1999,1999,Minnesota,27,75-84 years,75-84,Male,M,33,84277,39.2
,1999,1999,Mississippi,28,15-24 years,15-24,Male,M,40,225700,17.7
,1999,1999,Mississippi,28,25-34 years,25-34,Male,M,33,186401,17.7
,1999,1999,Mississippi,28,35-44 years,35-44,Female,F,13,218646,Unreliable
,1999,1999,Mississippi,28,35-44 years,35-44,Male,M,62,205967,30.1
,1999,1999,Mississippi,28,45-54 years,45-54,Male,M,30,170376,17.6
,1999,1999,Mississippi,28,55-64 years,55-64,Female,F,10,127722,Unreliable
,1999,1999,Mississippi,28,55-64 years,55-64,Male,M,33,114647,28.8
,1999,1999,Mississippi,28,65-74 years,65-74,Male,M,28,80924,34.6
,1999,1999,Mississippi,28,75-84 years,75-84,Male,M,17,42341,Unreliable
,1999,1999,Missouri,29,15-24 years,15-24,Female,F,21,383799,5.5
,1999,1999,Missouri,29,15-24 years,15-24,Male,M,85,392084,21.7
,1999,1999,Missouri,29,25-34 years,25-34,Female,F,22,374160,5.9
,1999,1999,Missouri,29,25-34 years,25-34,Male,M,102,369659,27.6
,1999,1999,Missouri,29,35-44 years,35-44,Female,F,34,448167,7.6
,1999,1999,Missouri,29,35-44 years,35-44,Male,M,126,438657,28.7
,1999,1999,Missouri,29,45-54 years,45-54,Female,F,28,369525,7.6
,1999,1999,Missouri,29,45-54 years,45-54,Male,M,77,351662,21.9
,1999,1999,Missouri,29,55-64 years,55-64,Female,F,15,260010,Unreliable
,1999,1999,Missouri,29,55-64 years,55-64,Male,M,52,239259,21.7
,1999,1999,Missouri,29,65-74 years,65-74,Male,M,50,177894,28.1
,1999,1999,Missouri,29,75-84 years,75-84,Male,M,44,101295,43.4
,1999,1999,Missouri,29,85+ years,85+,Male,M,22,26530,82.9
,1999,1999,Montana,30,15-24 years,15-24,Male,M,22,66989,32.8
,1999,1999,Montana,30,25-34 years,25-34,Male,M,11,51988,Unreliable
,1999,1999,Montana,30,35-44 years,35-44,Female,F,10,72952,Unreliable
,1999,1999,Montana,30,35-44 years,35-44,Male,M,26,71273,36.5
,1999,1999,Montana,30,45-54 years,45-54,Male,M,20,66448,30.1
,1999,1999,Montana,30,55-64 years,55-64,Male,M,11,41804,Unreliable
,1999,1999,Montana,30,65-74 years,65-74,Male,M,15,29636,Unreliable
,1999,1999,Montana,30,75-84 years,75-84,Male,M,17,17936,Unreliable
,1999,1999,Nebraska,31,15-24 years,15-24,Male,M,30,129566,23.2
,1999,1999,Nebraska,31,25-34 years,25-34,Male,M,34,113756,29.9
,1999,1999,Nebraska,31,35-44 years,35-44,Female,F,10,132342,Unreliable
,1999,1999,Nebraska,31,35-44 years,35-44,Male,M,30,133565,22.5
,1999,1999,Nebraska,31,45-54 years,45-54,Male,M,24,109357,21.9
,1999,1999,Nebraska,31,55-64 years,55-64,Male,M,16,68387,Unreliable
,1999,1999,Nebraska,31,65-74 years,65-74,Male,M,10,53382,Unreliable
,1999,1999,Nevada,32,15-24 years,15-24,Male,M,33,127687,25.8
,1999,1999,Nevada,32,25-34 years,25-34,Female,F,13,144631,Unreliable
,1999,1999,Nevada,32,25-34 years,25-34,Male,M,61,158093,38.6
,1999,1999,Nevada,32,35-44 years,35-44,Female,F,13,151100,Unreliable
,1999,1999,Nevada,32,35-44 years,35-44,Male,M,64,164054,39
,1999,1999,Nevada,32,45-54 years,45-54,Female,F,18,126908,Unreliable
,1999,1999,Nevada,32,45-54 years,45-54,Male,M,54,129481,41.7
,1999,1999,Nevada,32,55-64 years,55-64,Male,M,39,91487,42.6
,1999,1999,Nevada,32,65-74 years,65-74,Male,M,34,64030,53.1
,1999,1999,Nevada,32,75-84 years,75-84,Male,M,32,30067,106.4
,1999,1999,New Hampshire,33,15-24 years,15-24,Male,M,18,76904,Unreliable
,1999,1999,New Hampshire,33,25-34 years,25-34,Male,M,22,80549,27.3
,1999,1999,New Hampshire,33,35-44 years,35-44,Male,M,20,109539,18.3
,1999,1999,New Hampshire,33,45-54 years,45-54,Male,M,26,88379,29.4
,1999,1999,New Jersey,34,15-24 years,15-24,Female,F,15,486868,Unreliable
,1999,1999,New Jersey,34,15-24 years,15-24,Male,M,46,512760,9
,1999,1999,New Jersey,34,25-34 years,25-34,Female,F,12,605611,Unreliable
,1999,1999,New Jersey,34,25-34 years,25-34,Male,M,80,599799,13.3
,1999,1999,New Jersey,34,35-44 years,35-44,Female,F,37,725132,5.1
,1999,1999,New Jersey,34,35-44 years,35-44,Male,M,105,706034,14.9
,1999,1999,New Jersey,34,45-54 years,45-54,Female,F,23,583442,3.9
,1999,1999,New Jersey,34,45-54 years,45-54,Male,M,72,547694,13.1
,1999,1999,New Jersey,34,55-64 years,55-64,Female,F,14,388538,Unreliable
,1999,1999,New Jersey,34,55-64 years,55-64,Male,M,45,352541,12.8
,1999,1999,New Jersey,34,65-74 years,65-74,Male,M,41,255408,16.1
,1999,1999,New Jersey,34,75-84 years,75-84,Male,M,37,151937,24.4
,1999,1999,New Jersey,34,85+ years,85+,Male,M,17,37495,Unreliable
,1999,1999,New Mexico,35,15-24 years,15-24,Male,M,53,135686,39.1
,1999,1999,New Mexico,35,25-34 years,25-34,Female,F,13,117603,Unreliable
,1999,1999,New Mexico,35,25-34 years,25-34,Male,M,41,117176,35
,1999,1999,New Mexico,35,35-44 years,35-44,Female,F,15,143832,Unreliable
,1999,1999,New Mexico,35,35-44 years,35-44,Male,M,54,139789,38.6
,1999,1999,New Mexico,35,45-54 years,45-54,Male,M,47,116461,40.4
,1999,1999,New Mexico,35,55-64 years,55-64,Male,M,23,74425,30.9
,1999,1999,New Mexico,35,65-74 years,65-74,Male,M,18,54502,Unreliable
,1999,1999,New Mexico,35,75-84 years,75-84,Male,M,19,29645,Unreliable
,1999,1999,New York,36,15-24 years,15-24,Female,F,31,1233625,2.5
,1999,1999,New York,36,15-24 years,15-24,Male,M,126,1272073,9.9
,1999,1999,New York,36,25-34 years,25-34,Female,F,38,1426399,2.7
,1999,1999,New York,36,25-34 years,25-34,Male,M,173,1378533,12.5
,1999,1999,New York,36,35-44 years,35-44,Female,F,45,1563349,2.9
,1999,1999,New York,36,35-44 years,35-44,Male,M,206,1506475,13.7
,1999,1999,New York,36,45-54 years,45-54,Female,F,49,1297234,3.8
,1999,1999,New York,36,45-54 years,45-54,Male,M,166,1197851,13.9
,1999,1999,New York,36,55-64 years,55-64,Female,F,32,889098,3.6
,1999,1999,New York,36,55-64 years,55-64,Male,M,100,775941,12.9
,1999,1999,New York,36,65-74 years,65-74,Female,F,26,713235,3.6
,1999,1999,New York,36,65-74 years,65-74,Male,M,81,562652,14.4
,1999,1999,New York,36,75-84 years,75-84,Female,F,25,524588,4.8
,1999,1999,New York,36,75-84 years,75-84,Male,M,54,324665,16.6
,1999,1999,New York,36,85+ years,85+,Male,M,30,84791,35.4
,1999,1999,North Carolina,37,15-24 years,15-24,Female,F,21,528501,4
,1999,1999,North Carolina,37,15-24 years,15-24,Male,M,108,570557,18.9
,1999,1999,North Carolina,37,25-34 years,25-34,Female,F,26,601106,4.3
,1999,1999,North Carolina,37,25-34 years,25-34,Male,M,138,617360,22.4
,1999,1999,North Carolina,37,35-44 years,35-44,Female,F,43,646608,6.7
,1999,1999,North Carolina,37,35-44 years,35-44,Male,M,149,632761,23.5
,1999,1999,North Carolina,37,45-54 years,45-54,Female,F,50,542672,9.2
,1999,1999,North Carolina,37,45-54 years,45-54,Male,M,116,513327,22.6
,1999,1999,North Carolina,37,55-64 years,55-64,Female,F,24,372529,6.4
,1999,1999,North Carolina,37,55-64 years,55-64,Male,M,67,337298,19.9
,1999,1999,North Carolina,37,65-74 years,65-74,Male,M,61,235613,25.9
,1999,1999,North Carolina,37,75-84 years,75-84,Male,M,43,121999,35.2
,1999,1999,North Carolina,37,85+ years,85+,Male,M,12,26504,Unreliable
,1999,1999,North Dakota,38,15-24 years,15-24,Male,M,15,54570,Unreliable
,1999,1999,North Dakota,38,25-34 years,25-34,Male,M,10,40591,Unreliable
